Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Product URL;Max quantity;Quantity step;List qty count;Out of stock actions;Promo text;Image URL;Detailed image URL;Items in box;Box size;Usergroup IDs;Available since;Options type;Exceptions type;Vendor;Variation group code;Variation group id;Variation parent product id;Variation sub group id;Variation set as default;Цвет (Variation feature);Размер (Variation feature);Discussion
"04065-01104";"ru";"4166";"Komatsu";"0.00";"406.17";"0.000";"7";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-01104 УПЛОТНЕНИЕ РЕЗИНОВОЕ";"04065-01104 УПЛОТНЕНИЕ РЕЗИНОВОЕ, ";"";"";"";"";"VAT";"";"";"";"04065-01104-soknrmemhe-peghmnbne";"";"A";"";"https://service.parts/komatsu/04065-01104-soknrmemhe-peghmnbne/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-01204";"ru";"4167";"Komatsu";"0.00";"1633.82";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-01204 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО";"04065-01204 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-01204-soknrmhrekemne-ynkezhn";"";"A";"24";"https://service.parts/komatsu/04065-01204-soknrmhrekemne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-05220";"ru";"4168";"Komatsu";"0.00";"214.62";"0.000";"74";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-05220 СТОПОРНОЕ КОЛЬЦО";"04065-05220 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-05220-yarnonpmne-ynkezhn";"";"A";"24";"https://service.parts/komatsu/04065-05220-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-06020";"ru";"4169";"Komatsu";"0.00";"574.05";"0.000";"6";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-06020 СТОПОРНОЕ КОЛЬЦО";"04065-06020 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-06020-yarnonpmne-ynkezhn";"";"A";"24";"https://service.parts/komatsu/04065-06020-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-07025";"ru";"4170";"Komatsu";"0.00";"680.85";"0.000";"4";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-07025 СТОПОРНОЕ КОЛЬЦО";"04065-07025 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-07025-yarnonpmne-ynkezhn";"";"A";"27";"https://service.parts/komatsu/04065-07025-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-07225";"ru";"4171";"Komatsu";"0.00";"821.53";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-07225 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО";"04065-07225 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-07225-soknrmhrekemne-ynkezhn";"";"A";"21";"https://service.parts/komatsu/04065-07225-soknrmhrekemne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04065-08225";"ru";"4172";"Komatsu";"0.00";"1005.35";"0.000";"4";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04065-08225 СТОПОРНОЕ КОЛЬЦО";"04065-08225 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04065-08225-yarnonpmne-ynkezhn";"";"A";"";"https://service.parts/komatsu/04065-08225-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04070-00155";"ru";"4173";"Komatsu";"0.00";"2019.95";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04070-00155 СТОПОРНОЕ КОЛЬЦО";"04070-00155 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04070-00155-yarnonpmne-ynkezhn";"";"A";"30";"https://service.parts/komatsu/04070-00155-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04070-00175";"ru";"4174";"Komatsu";"0.00";"2383.48";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04070-00175 СТОПОРНОЕ КОЛЬЦО";"04070-00175 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04070-00175-yarnonpmne-ynkezhn";"";"A";"33";"https://service.parts/komatsu/04070-00175-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04071-00140";"ru";"4175";"Komatsu";"0.00";"1979.88";"0.000";"7";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04071-00140 УПЛОТНЕНИЕ РЕЗИНОВОЕ";"04071-00140 УПЛОТНЕНИЕ РЕЗИНОВОЕ, ";"";"";"";"";"VAT";"";"";"";"04071-00140-soknrmemhe-peghmnbne";"";"A";"";"https://service.parts/komatsu/04071-00140-soknrmemhe-peghmnbne/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
