Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity,Stop words,ООО "КОМЕК МАШИНЕРИ" (склад в г. Москва) (Warehouse),ООО "КОМЕК МАШИНЕРИ" (склад в г. Екатеринбурге) (Warehouse),ООО "Компания ИмПарт" (склад в г. Екатеринбурге) (Warehouse),ООО "ТКП" (склад в Екатеринбурге) (Warehouse),ООО "ТКП" (склад в Москве) (Warehouse),Склад ОсОО "ИКО Машинери" в г. Бишкек (Warehouse),external id,update 1c
"V10-00-00190928","ru","ООО ""КОМЕК МАШИНЕРИ""","0","0","0","N","","https://service.parts/products/6742-01-1440-remkomplekt/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","66677","Products","0.00","5186.60","0.454","0","0","0.00","10 Apr 2020 11:02:59","N","","N","B","N","R","","","6742-01-1440 РЕМКОМПЛЕКТ","6742-01-1440 РЕМКОМПЛЕКТ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6742-01-1440]; Список номеров аналогов : M[6742-01-1440]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6742-01-1440-remkomplekt","","A","0","","2;","3;","0;","0;","0;","0;","","Y"
"V18-00-00190928","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6742-01-1440-remkomplekt-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81278","Products","0.00","7329.00","0.454","77","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","00-00190928 ШТИФТ БАЙДА","<p>00-00190928 ШТИФТ БАЙДА</p>","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[00-00190928]; Список номеров аналогов : M[00-00190928///6742-01-1440///AAA-6742-01-1440]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6742-01-1440-remkomplekt-ru","","A","6","","0;","0;","0;","77;1","88;1","0;","","Y"
