Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"01010-81245","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/01010-81245-bolt-s-shestigrannoy-golovkoy/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7854","Komatsu","0.00","207.00","0.000","14","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ","01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-81245]; (Основные характеристики) Город: S[Екатеринбург]","","","01010-81245-bolt-s-shestigrannoy-golovkoy","","A","37"
"01010-81280","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/01010-81280-bolt-s-shestigrannoy-golovkoy/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7855","Komatsu","0.00","311.00","0.000","22","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ","01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-81280]; (Основные характеристики) Город: S[Екатеринбург]","","","01010-81280-bolt-s-shestigrannoy-golovkoy","","A","12"
"01011-62710","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/01011-62710-bolt-27mm/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7856","Komatsu","0.00","1.00","0.000","500","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","01011-62710 БОЛТ 27ММ","01011-62710 БОЛТ 27ММ","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01011-62710]; (Основные характеристики) Город: S[Екатеринбург]","","","01011-62710-bolt-27mm","","A","77"
"01643-22460","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/01643-22460-shayba/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7857","Komatsu","0.00","251.00","0.000","94","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","01643-22460 ШАЙБА","01643-22460 ШАЙБА","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01643-22460]; (Основные характеристики) Город: S[Екатеринбург]","","","01643-22460-shayba","","A","39"
"04020-00616","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/04020-00616-ustanovochnyy-shtift/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7858","Komatsu","0.00","53.00","0.000","484","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","04020-00616 УСТАНОВОЧНЫЙ ШТИФТ","04020-00616 УСТАНОВОЧНЫЙ ШТИФТ","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[04020-00616]; (Основные характеристики) Город: S[Екатеринбург]","","","04020-00616-ustanovochnyy-shtift","","A","21"
"04022-20040","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/04022-20040-palec-fiksiruyuschiy-stal/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7859","Komatsu","0.00","1.00","0.000","8","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ","04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[04022-20040]; (Основные характеристики) Город: S[Екатеринбург]","","","04022-20040-palec-fiksiruyuschiy-stal","","A","18"
"07000-12010","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/07000-12010-prokladka-tip-o/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7860","Komatsu","0.00","64.00","0.000","5","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","07000-12010 ПРОКЛАДКА ТИП ""О""","07000-12010 ПРОКЛАДКА ТИП ""О""","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[07000-12010]; (Основные характеристики) Город: S[Екатеринбург]","","","07000-12010-prokladka-tip-o","","A","89"
"07000-15140","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/07000-15140-o-kolco/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7861","Komatsu","0.00","542.00","0.000","1","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","07000-15140 О-КОЛЬЦО","07000-15140 О-КОЛЬЦО","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[07000-15140]; (Основные характеристики) Город: S[Екатеринбург]","","","07000-15140-o-kolco","","A","18"
"07000-15210","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/07000-15210-o-kolco-07000-05210/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7862","Komatsu","0.00","664.00","0.000","6","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","07000-15210 О-КОЛЬЦО 07000-05210","07000-15210 О-КОЛЬЦО 07000-05210","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[07000-15210]; (Основные характеристики) Город: S[Екатеринбург]","","","07000-15210-o-kolco-07000-05210","","A","12"
"07000-45220","ru","ИмПарт","0","0","0","N","","https://service.parts/komatsu/07000-45220-o-kolco/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7863","Komatsu","0.00","1.00","0.000","1","0","0.00","29 Nov 2019 12:52:09","N","","N","B","N","R","","","07000-45220 О-КОЛЬЦО","07000-45220 О-КОЛЬЦО","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[ЯПОНИЯ]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[07000-45220]; (Основные характеристики) Город: S[Екатеринбург]","","","07000-45220-o-kolco","","A","42"
