Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"V18-00-00190928","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6742-01-1440-remkomplekt-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81278","Products","0.00","7535.27","0.454","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6742-01-1440 РЕМКОМПЛЕКТ","6742-01-1440 РЕМКОМПЛЕКТ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6742-01-1440]; Список номеров аналогов : M[6742-01-1440;AAA-6742-01-1440]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6742-01-1440-remkomplekt-ru","","A","3"
"V18-00-00190932","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/22b-06-11690-fara-v-sbore-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81279","Products","0.00","8188.99","0.750","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","22B-06-11690 ФАРА В СБОРЕ","22B-06-11690 ФАРА В СБОРЕ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[22B-06-11690]; Список номеров аналогов : M[22B-06-11690;AAA-22B-06-11690]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","22b-06-11690-fara-v-sbore-ru","","A","3"
"V18-00-00190973","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/21t-03-32430-shlang-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81280","Products","0.00","11443.72","0.690","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","21T-03-32430 ШЛАНГ","21T-03-32430 ШЛАНГ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[21T-03-32430]; Список номеров аналогов : M[21T-03-32430;AAA-21T-03-32430]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","21t-03-32430-shlang-ru","","A","0"
"V18-00-00191030","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6240-21-2430-bolt-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81281","Products","0.00","1069.20","0.095","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6240-21-2430 БОЛТ","6240-21-2430 БОЛТ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6240-21-2430]; Список номеров аналогов : M[6240-21-2430;AAA-6240-21-2430]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6240-21-2430-bolt-ru","","A","0"
"V18-00-00191031","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6553-91-3650-bolt-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81282","Products","0.00","2451.43","0.100","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6553-91-3650 БОЛТ","6553-91-3650 БОЛТ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6553-91-3650]; Список номеров аналогов : M[6553-91-3650;AAA-6553-91-3650]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6553-91-3650-bolt-ru","","A","0"
"V18-00-00191055","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6219-51-2280-shlang-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81283","Products","0.00","8956.40","0.221","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6219-51-2280 ШЛАНГ","6219-51-2280 ШЛАНГ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6219-51-2280]; Список номеров аналогов : M[6219-51-2280;AAA-6219-51-2280]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6219-51-2280-shlang-ru","","A","0"
"V18-00-00191056","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6219-71-6820-shlang-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81284","Products","0.00","6949.25","0.260","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6219-71-6820 ШЛАНГ","6219-71-6820 ШЛАНГ","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6219-71-6820]; Список номеров аналогов : M[6219-71-6820;AAA-6219-71-6820]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6219-71-6820-shlang-ru","","A","0"
"V18-00-00191103","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6166-91-6160-otvod-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81285","Products","0.00","1538.16","0.162","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6166-91-6160 ОТВОД","6166-91-6160 ОТВОД","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6166-91-6160]; Список номеров аналогов : M[6166-91-6160;AAA-6166-91-6160]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6166-91-6160-otvod-ru","","A","0"
"V18-00-00191163","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6219-61-1470-krylchatka-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81286","Products","0.00","38022.32","1.500","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6219-61-1470 КРЫЛЬЧАТКА","6219-61-1470 КРЫЛЬЧАТКА","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6219-61-1470]; Список номеров аналогов : M[6219-61-1470;AAA-6219-61-1470]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6219-61-1470-krylchatka-ru","","A","0"
"V18-00-00191179","ru","ООО ""Тестовая компания ПРОДАВЕЦ""","0","0","0","N","","https://service.parts/products/6127-61-3920-vnutrennyaya-oboyma-ru/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","81287","Products","0.00","9740.62","0.150","0","0","0.00","29 Apr 2020 13:22:00","N","","N","B","N","R","","","6127-61-3920 ВНУТРЕННЯЯ ОБОЙМА","6127-61-3920 ВНУТРЕННЯЯ ОБОЙМА","","","","","НДС","(Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: S[6127-61-3920]; Список номеров аналогов : M[6127-61-3920;AAA-6127-61-3920]; Бренд техники, на которую запчасть подходит: M[KOMATSU]","","","6127-61-3920-vnutrennyaya-oboyma-ru","","A","0"
