Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity
"01010-63090";"ru";"7716";"Komatsu";"0.00";"1666.68";"0.727";"10";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-63090 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7716";"";"A";""
"01010-80616";"ru";"7717";"Komatsu";"0.00";"53.41";"0.010";"38";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-80616 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7717";"";"A";""
"01010-80818";"ru";"7718";"Komatsu";"0.00";"53.41";"0.010";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-80818 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7718";"";"A";""
"01010-80820";"ru";"7719";"Komatsu";"0.00";"53.41";"0.010";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-80820 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7719";"";"A";""
"01010-80825";"ru";"7720";"Komatsu";"0.00";"97.55";"0.020";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-80825 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7720";"";"A";""
"01010-81020";"ru";"7721";"Komatsu";"0.00";"97.55";"0.020";"100";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81020 БОЛТ 10ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7721";"";"A";""
"01010-81025";"ru";"7722";"Komatsu";"0.00";"136.58";"0.030";"11";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81025 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7722";"";"A";""
"01010-81030";"ru";"7723";"Komatsu";"0.00";"136.58";"0.030";"19";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81030 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7723";"";"A";""
"01010-81035";"ru";"7724";"Komatsu";"0.00";"136.58";"0.030";"13";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81035 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7724";"";"A";""
"01010-81040";"ru";"7725";"Komatsu";"0.00";"146.84";"0.040";"54";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81040 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7725";"";"A";""
