Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
01010-61435;ru;01010-61435;Komatsu;165,55;0,067;10;R;01010-61435 БОЛТ, ;01010-61435 БОЛТ, ;VAT;A
01010-61490;ru;01010-61490;Komatsu;116,39;0,132;10;R;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-61640;ru;01010-61640;Komatsu;212,26;0,096;10;R;01010-61640 БОЛТ, ;01010-61640 БОЛТ, ;VAT;A
01010-61645;ru;01010-61645;Komatsu;212,26;0,104;10;R;01010-61645 БОЛТ, ;01010-61645 БОЛТ, ;VAT;A
01010-61655;ru;01010-61655;Komatsu;256,95;0,119;10;R;01010-61655 БОЛТ, ;01010-61655 БОЛТ, ;VAT;A
01010-61660;ru;01010-61660;Komatsu;101,38;0,127;10;R;01010-61660 БОЛТ 16ММ, ;01010-61660 БОЛТ 16ММ, ;VAT;A
01010-61675;ru;01010-61675;Komatsu;131,41;0,15;10;R;01010-61675 БОЛТ, ;01010-61675 БОЛТ, ;VAT;A
01010-61690;ru;01010-61690;Komatsu;138,91;0,173;10;R;01010-61690 БОЛТ, ;01010-61690 БОЛТ, ;VAT;A
01010-62040;ru;01010-62040;Komatsu;112,64;0,166;10;R;01010-62040 БОЛТ, ;01010-62040 БОЛТ, ;VAT;A
