Product code;Language;Product id;Category;Price;Weight;Quantity;Date added;Description;Features;SEO name;Status
01010-81020;ru;4015;Komatsu;97.55;0.02;100;24 Sep 2019 12:35:37;01010-81020 БОЛТ 10ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81020-ankr-10ll;A
01010-81025;ru;4016;Komatsu;136.58;0.03;11;24 Sep 2019 12:35:37;01010-81025 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81025-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-81030;ru;4017;Komatsu;136.58;0.03;19;24 Sep 2019 12:35:37;01010-81030 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81030-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-81035;ru;4018;Komatsu;136.58;0.03;13;24 Sep 2019 12:35:37;01010-81035 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81035-ankr;A
01010-81040;ru;4019;Komatsu;146.84;0.04;54;24 Sep 2019 12:35:37;01010-81040 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81040-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-81065;ru;4020;Komatsu;209.49;0.05;6;24 Sep 2019 12:35:37;01010-81065 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81065-ankr;A
01010-81095;ru;4021;Komatsu;282.41;0.07;3;24 Sep 2019 12:35:37;01010-81095 БОЛТ 10ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81095-ankr-10ll;A
01010-81225;ru;4022;Komatsu;146.84;0.04;48;24 Sep 2019 12:35:37;01010-81225 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81225-ankr;A
01010-81230;ru;4023;Komatsu;146.84;0.04;92;24 Sep 2019 12:35:37;01010-81230 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81230-ankr;A
01010-81235;ru;4024;Komatsu;146.84;0.04;12;24 Sep 2019 12:35:37;01010-81235 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81235-ankr;A
01010-81245;ru;4025;Komatsu;237.22;0.06;23;24 Sep 2019 12:35:37;01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81245-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-81250;ru;4026;Komatsu;251.60;0.06;6;24 Sep 2019 12:35:37;01010-81250 БОЛТ 12ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81250-ankr-12ll;A
01010-81255;ru;4027;Komatsu;251.60;0.06;7;24 Sep 2019 12:35:37;01010-81255 БОЛТ 12ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81255-ankr-12ll;A
01010-81280;ru;4028;Komatsu;356.35;0.09;27;24 Sep 2019 12:35:37;01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81280-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-81285;ru;4029;Komatsu;356.35;0.09;10;24 Sep 2019 12:35:37;01010-81285 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-81285-ankr;A
01010-E1225;ru;4030;Komatsu;195.12;0.039;20;24 Sep 2019 12:35:37;01010-E1225 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1225-ankr;A
01010-E1230;ru;4031;Komatsu;199.22;0.04;37;24 Sep 2019 12:35:37;01010-E1230 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1230-ankr;A
01010-E1235;ru;4032;Komatsu;246.46;0.05;18;24 Sep 2019 12:35:37;01010-E1235 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1235-ankr;A
01010-E1240;ru;4033;Komatsu;251.60;0.05;7;24 Sep 2019 12:35:37;01010-E1240 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1240-ankr;A
01010-E1245;ru;4034;Komatsu;203.32;0.06;18;24 Sep 2019 12:35:37;01010-E1245 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1245-ankr;A
01010-E1265;ru;4035;Komatsu;287.54;0.06;50;24 Sep 2019 12:35:37;01010-E1265 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-e1265-ankr;A
01011-61880;ru;4036;Komatsu;974.54;0.402;14;24 Sep 2019 12:35:37;01011-61880 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01011-61880-ankr-ya-eyarhcpyummni-cnknbyni;A
01011-62425;ru;4037;Komatsu;1288.78;0.549;1;24 Sep 2019 12:35:37;01011-62425 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01011-62425-ankr;A
01011-62450;ru;4038;Komatsu;558.02;0.635;28;24 Sep 2019 12:35:37;01011-62450 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01011-62450-ankr-ya-eyarhcpyummni-cnknbyni;A
