Product code;Product id;Category;Price;Weight;Product name;Description;Features;#;OEM part #;Part description;Manufacturer part #;Price;Currency;Weight;Unit weight;Аmount;Units;Manufacturer name;Country of manufacturer;Part location;Brand name compatibility *
01010-61435;01010-61435;Komatsu;167,39;0,067;01010-61435 БОЛТ, ;01010-61435 БОЛТ, ;"(Основные характеристики) Производитель: S[Komatsu Ltd.]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Бренд: S[Komatsu]";;01010-61435;01010-61435 БОЛТ, ;01010-61435;167,39;Rub;0.067;кг.;7;шт.;Komatsu Ltd.;Япония;Екатеринбург;Komatsu
01010-61490;01010-61490;Komatsu;117,68;0,132;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;"(Основные характеристики) Производитель: S[Komatsu Ltd.]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Бренд: S[Komatsu]";;01010-61490;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-61490;117,68;Rub;0.132;кг.;16;шт.;Komatsu Ltd.;Япония;Екатеринбург;Komatsu
01010-61640;01010-61640;Komatsu;214,62;0,096;01010-61640 БОЛТ, ;01010-61640 БОЛТ, ;"(Основные характеристики) Производитель: S[Komatsu Ltd.]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Бренд: S[Komatsu]";;01010-61640;01010-61640 БОЛТ, ;01010-61640;214,62;Rub;0.096;кг.;16;шт.;Komatsu Ltd.;Япония;Екатеринбург;Komatsu
01010-61645;01010-61645;Komatsu;214,62;0,104;01010-61645 БОЛТ, ;01010-61645 БОЛТ, ;"(Основные характеристики) Производитель: S[Komatsu Ltd.]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Бренд: S[Komatsu]";;01010-61645;01010-61645 БОЛТ, ;01010-61645;214,62;Rub;0.104;кг.;59;шт.;Komatsu Ltd.;Япония;Екатеринбург;Komatsu
01010-61655;01010-61655;Komatsu;259,81;0,119;01010-61655 БОЛТ, ;01010-61655 БОЛТ, ;"(Основные характеристики) Производитель: S[Komatsu Ltd.]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Бренд: S[Komatsu]";;01010-61655;01010-61655 БОЛТ, ;01010-61655;259,81;Rub;0.119;кг.;80;шт.;Komatsu Ltd.;Япония;Екатеринбург;Komatsu
