ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00185434	ООО "КАПИТАЛСТРОЙ"	707-88-60310	KOMATSU	707-88-60310 ШТИФТ	707-88-60310 ШТИФТ	0,100	11;10286,68	11	10286,68	707-88-60310	KOMATSU	6
00-00185436	ООО "КАПИТАЛСТРОЙ"	21T-64-33841	KOMATSU	21T-64-33841 АККУМУЛЯТОР	21T-64-33841 АККУМУЛЯТОР	2,000	1;45922,00	1	45922,00	21T-64-33841	KOMATSU	6
00-00185437	ООО "КАПИТАЛСТРОЙ"	775-HL-200AS	KOMATSU	775-HL-200AS АДАПТЕР	775-HL-200AS АДАПТЕР	6,810	3;4428,52	3	4428,52	775-HL-200AS	KOMATSU	6
00-00185445	ООО "КАПИТАЛСТРОЙ"	42N-62-14541	KOMATSU	42N-62-14541 ШЛАНГ	42N-62-14541 ШЛАНГ	2,200	2;4529,30	2	4529,30	42N-62-14541	KOMATSU	6
00-00185451	ООО "КАПИТАЛСТРОЙ"	20Y-06-49890	KOMATSU	20Y-06-49890 ПЕРЕКЛЮЧАТЕЛЬ (шт)	20Y-06-49890 ПЕРЕКЛЮЧАТЕЛЬ (шт)	0,030	2;8749,39	2	8749,39	20Y-06-49890	KOMATSU	6
00-00185460	ООО "КАПИТАЛСТРОЙ"	154-81-11191B	KOMATSU	154-81-11191B РЕЖУЩИЙ НОЖ ОТВАЛА	154-81-11191B РЕЖУЩИЙ НОЖ ОТВАЛА	38,000	5;12669,24	5	12669,24	154-81-11191B	KOMATSU	6
00-00185461	ООО "КАПИТАЛСТРОЙ"	561-03-83160	KOMATSU	561-03-83160 ШЛАНГ	561-03-83160 ШЛАНГ	1,480	2;13283,83	2	13283,83	561-03-83160	KOMATSU	6
00-00185471	ООО "КАПИТАЛСТРОЙ"	42N-856-5290	KOMATSU	42N-856-5290 ВТУЛКА	42N-856-5290 ВТУЛКА	0,350	6;1659,69	6	1659,69	42N-856-5290	KOMATSU	6
00-00185476	ООО "КАПИТАЛСТРОЙ"	42N-06-13242	KOMATSU	42N-06-13242 ПЕРЕКЛЮЧАТЕЛЬ	42N-06-13242 ПЕРЕКЛЮЧАТЕЛЬ	0,040	2;2819,77	2	2819,77	42N-06-13242	KOMATSU	6
00-00185492	ООО "КАПИТАЛСТРОЙ"	CA0149703	KOMATSU	CA0149703 ПРОКЛАДКА	CA0149703 ПРОКЛАДКА	0,020	21;5565,45	21	5565,45	CA0149703	KOMATSU	6
00-00185496	ООО "КАПИТАЛСТРОЙ"	96906240	KOMATSU	96906240 ВТУЛКА	96906240 ВТУЛКА	3,500	4;97533,35	4	97533,35	96906240	KOMATSU	6
